account,amount_0,amount_1
(売上高),,
売上,"299,298,818",
出品落札売上,"7,459,140","306,757,958"
(売上原価),,
期首棚卸高,"47,674,116",
仕入,"165,829,788",
陸送費,"1,403,384",
当期製品製造原価,"36,449,735",
合計,"251,357,023",
期末棚卸高,"49,702,891","201,654,132"
売上総利益,,"105,103,826"
(販売費及び一般管理費),,
役員報酬,"19,200,000",
給与手当,"24,322,350",
雑給,"2,004,000",
賞与,"7,821,000",
法定福利費,"7,424,628",
福利厚生費,"580,885",
旅費交通費,"1,030,105",
通信費,"968,508",
接待交際費,"2,045,812",
減価償却費,"338,482",
賃借料,"991,642",
地代家賃,"8,439,600",
保険料,"3,397,225",
水道光熱費,"978,469",
車輌費,"1,140,330",
消耗品費,"620,334",
租税公課,"9,400,511",
運賃,"74,340",
事務用品費,"13,864",
広告宣伝費,"1,345,065",
支払手数料,"2,582,362",
諸会費,"572,850",
新聞図書費,"46,800",
管理諸費,"850,900",
販売関係費,"1,840,918",
雑費,"114,162","98,145,142"
営業利益,,"6,958,684"
(営業外収益),,
受取利息,"7,374",
受取配当金,"25,000",
雑収入,"7,595,727","7,628,101"
(営業外費用),,
支払利息,"1,040,217",
雑損失,"149,999","1,190,216"
経常利益,,"13,396,569"
(特別利益),,
貸倒引当金戻入益,,"138,000"
(特別損失),,
貸倒引当金繰入,,"268,000"
税引前当期純利益,,"13,266,569"
法人税、住民税及び事業税,,"4,368,600"
当期純利益,,"8,897,969"
