account,amount_0,amount_1
(医業損益計算),,
(医業収益),,
保険窓口収入,"131,533,691",
保険振込収入,"899,356,862",
自由診療収入,"489,683,502",
介護施設サービス,"405,162,429",
居宅介護サービス,"117,468,032",
居宅支援サービス,"31,271,564",
利用料収益,"75,366,980",
介護保険調整増減,"-1,429,261",
介護予防サービス,"22,002,181",
介護予防利用料収益,"550,830",
その他医業収入,"58,402,068",
保険調整増減差額,"-1,179,834","2,228,089,044"
(医業費用),,
当期総医業費用,,"2,301,705,998"
医業損失,,"-73,616,954"
(経常損益計算),,
(医業外収益),,
受取利息配当金,"19,251",
補助金等収入,"154,000",
その他医業外収入,"7,203,807",
退職給与引当金戻入,"30,737,054",
貸倒引当金戻入,"2,099,000",
賞与引当金戻入,"153,900,000",
雑収入,"20,821,504","214,934,616"
(医業外費用),,
支払利息,"6,680,419",
貸倒引当金繰入,"2,109,000",
賞与引当金繰入,"161,250,000",
保証料償却,"19,831,680",
退職給与引当金繰入,"24,000,000",
現金過不足,"3,006",
雑損失,"58,579","213,932,684"
経常損失,,"-72,615,022"
(純損益計算),,
(特別損失),,
固定資産圧縮損,"154,000",
固定資産除却損,"110,016","264,016"
税引前当期損失,,"-72,879,038"
法人税、住民税及び事業税,,"70,000"
当期損失,,"-72,949,038"
前期繰越利益,,"246,441,364"
当期未処分利益,,"173,492,326"
