account,金額
資産の部,
(流動資産),"65,697,207"
現金及び預金,"33,939,477"
売掛金,"16,513,427"
商品,"2,521,595"
原材料,"1,988,584"
仕掛品,"908,374"
貯蔵品,"6,508,714"
前払費用,"1,525,086"
未収入金,"1,439,590"
役員貸付金,"352,360"
(固定資産),"32,889,132"
有形固定資産,"21,968,433"
建物,1
建物付属設備,"11,604,065"
構築物,1
機械装置,"2,274,123"
車輌運搬具,"4,447,300"
工具器具備品,"3,526,943"
一括償却資産,"116,000"
無形固定資産,"531,650"
電話加入権,"344,150"
商標権,"187,500"
投資その他の資産,"10,389,049"
出資金,"70,500"
出資預け金,83
敷金,"8,894,300"
保険積立金,"610,000"
長期前払費用,"781,846"
リサイクル預託金,"32,320"
(繰延資産),"5,852,999"
開発費,"5,852,999"
資産の部合計,"104,439,338"
負債の部,
(流動負債),"35,089,866"
買掛金,"7,744,934"
一年内返済長期借入金,"10,810,000"
未払費用,"13,535,117"
前受金,"1,164,981"
預り金,"180,634"
未払法人税等,"71,000"
未払消費税等,"1,583,200"
(固定負債),"75,639,704"
長期借入金,"66,571,000"
長期未払金,"9,068,704"
負債の部合計,"110,729,570"
純資産の部,
(株主資本),"-6,290,232"
資本金,"2,000,000"
利益剰余金,"-8,290,232"
その他利益剰余金,"-8,290,232"
繰越利益剰余金,"-8,290,232"
(うち当期純利益),"1,503,835"
純資産の部合計,"-6,290,232"
負債・純資産の部合計,"104,439,338"
