account,金額
(流動資産),"286,853,657"
現金及び預金,"184,765,539"
売掛金,"14,094,900"
商品,"48,197,038"
原材料,"27,875,849"
前払費用,"2,063,600"
仮払金,"562,531"
未収還付法人税等,"9,294,200"
(固定資産),"89,024,241"
(有形固定資産),"32,256,552"
建物附属設備,"49,479,739"
機械装置,"2,700,000"
車両運搬具,"9,427,437"
工具器具備品,"11,653,996"
減価償却累計額,"-41,004,620"
(投資その他の資産),"56,767,689"
出資金,"30,000"
敷金,"13,125,876"
長期前払費用,"586,935"
保険積立金,"43,024,878"
資産の部合計,"375,877,898"
(流動負債),"32,921,018"
買掛金,"2,147,191"
未払金,"13,243,501"
未払法人税等,"35,000"
前受金,"1,713,800"
預り金,"5,497,526"
一年内返済予定長期借入金,"10,284,000"
(固定負債),"16,158,000"
長期借入金,"16,158,000"
負債の部合計,"49,079,018"
(株主資本),"326,798,880"
資本金,"8,000,000"
利益剰余金,"318,798,880"
その他利益剰余金,"318,798,880"
繰越利益剰余金,"318,798,880"
純資産の部合計,"326,798,880"
負債及び純資産合計,"375,877,898"
