account,amount_0,amount_1
(営業収益),"498,241,616",
運送収入,"498,241,616",
(運送原価),"426,490,440",
当期運送原価,"426,490,440",
売上総利益金額,,"71,751,176"
(一般管理費),"55,913,059",
役員報酬,"36,150,000",
給料手当,"2,566,074",
賞与手当,"350,000",
法定福利費,"1,937,829",
福利厚生費,"371,500",
旅費交通費,"749,094",
通信費,"433,727",
接待交際費,"484,539",
会議費,"121,396",
減価償却費,"3,228,073",
賃借料,"290,040",
保険料,"1,045,280",
修繕費,"473,318",
水道光熱費,"853,821",
消耗品費,"159,279",
租税公課,"270,078",
事務用品費,"99,440",
広告宣伝費,"9,091",
支払手数料,"215,485",
寄付金,,
雑費,"6,104,995",
営業利益金額,,"15,838,117"
(営業外収益),"2,793,628",
受取利息,"1,287,460",
受取配当金,"1,250",
貸倒引当金戻入,"342,000",
雑収入,"1,162,918",
(営業外費用),"1,941,227",
支払利息,"1,622,227",
貸倒引当金繰入,"319,000",
雑損失,,
経常利益金額,,"16,690,518"
(特別利益),"1,299,998",
固定資産売却益,"1,299,998",
(特別損失),"8,850,000",
特別償却費,"8,850,000",
税引前当期純利益金額,,"9,140,516"
法人税等充当額,"1,758,600",
当期純利益金額,,"7,381,916"
