sheet_name,c0,c1
損益計算書,売上高,
損益計算書,商品売上高,189951915
損益計算書,工事売上高,168679222
損益計算書,その他の売上高,204017917
損益計算書,売上値引戻り高,-80
損益計算書,売上高計,562648974
損益計算書,売上原価,
損益計算書,期首棚卸高,28737328
損益計算書,商品仕入高,73570593
損益計算書,外注仕入高,82187409
損益計算書,当期製品製造原価,260170247
損益計算書,小計,444665577
損益計算書,期末棚卸高,22620758
損益計算書,売上原価計,422044819
損益計算書,売上総利益,140604155
損益計算書,販売費及び一般管理費,
損益計算書,役員報酬,4080000
損益計算書,給料手当,41809924
損益計算書,法定福利費,6436095
損益計算書,福利厚生費,421516
損益計算書,広告宣伝費,979174
損益計算書,運賃,1360155
損益計算書,旅費交通費,5110434
損益計算書,アフター活動費,2500602
損益計算書,諸会費,317200
損益計算書,販売活動費,502065
損益計算書,水道光熱費,731917
損益計算書,事務用消耗品費,1305034
損益計算書,備品消耗品費,189003
損益計算書,地代家賃,10113720
損益計算書,保険料,1252840
損益計算書,租税公課,23361663
損益計算書,減価償却費,201426
損益計算書,接待交際費,549719
損益計算書,手数料,6674308
損益計算書,通信費,1270458
損益計算書,管理諸費,1452000
損益計算書,車両費,8252358
損益計算書,雑費,702181
損益計算書,販売費及び一般管理費計,119573792
損益計算書,営業利益,21030363
損益計算書,営業外収益,
損益計算書,受取利息,513
損益計算書,受取配当金,3000
損益計算書,雑収入,995890
損益計算書,営業外収益計,999403
損益計算書,営業外費用,
損益計算書,支払利息,4499177
損益計算書,割引料,782279
損益計算書,雑損失,36756
損益計算書,営業外費用計,5318212
損益計算書,経常利益,16711554
損益計算書,税引前当期純利益,16711554
損益計算書,法人税等充当額,1492100
損益計算書,当期純利益,15219454
