account,amount_0,amount_1
(営業活動による収益),,
売上高,,
売上高,,"32,667,410"
(営業活動による費用・売上原価),,
営業活動による費用・売上原価の内訳,,
商品売上原価,,
当期商品仕入高,"10,089,512",
期末棚卸高,"463,362",
期首棚卸高,"411,949",
(売上総利益又は売上総損失(-)),,"22,629,311"
(販売費及び一般管理費),,
給料手当,"3,960,000",
広告宣伝費,"328,757",
役員報酬,"2,400,000",
福利厚生費,"1,970",
通信費,"112,011",
消耗品費,"488,269",
租税公課,"1,123,740",
減価償却費,"107,229",
修繕費,"213,916",
保守料,"246,180",
保険料,"77,785",
リース料,"557,940",
雑給,"3,000,817",
法定福利費,"1,022,236",
支払報酬,"891,000",
支払手数料,"169,314",
地代家賃,"5,003,460",
水道光熱費,"1,724,181",
事務用消耗品費,"2,233",
諸会費,"30,000",
旅費及び交通費,"635,160",
雑費,"551,608",
繰延資産償却,"95,000",
(営業利益又は営業損失(-)),,"-113,495"
(営業外収益),,
