account,amount_0,amount_1,amount_2
役員報酬,"2,400,000",,"2,400,000"
給与手当,"21,581,742","21,581,742",
賞与,"3,001,535","3,001,535",
法定福利費,"3,957,854","3,695,065","262,789"
福利厚生費,"388,080","25,280","362,800"
通勤手当,"373,092","373,092",
外注加工費,"1,450,000",,"1,450,000"
消耗品費,"872,430","872,430",
保険料,"1,276,450","623,410","653,040"
修繕費,"1,853,399","1,853,399",
水道光熱費,"1,041,417","769,055","272,362"
減価償却費,"9,121,370","8,911,399","209,971"
車両燃料費,"1,559,865","1,559,865",
燃料費,"7,401,826","7,401,826",
リース料,"1,027,000","48,000","979,000"
地代家賃,"2,850,000","1,920,000","930,000"
賃借料,"431,870","431,870",
旅費交通費,"890,366","789,652","100,714"
運賃,"3,378,675","351,000","3,027,675"
接待交際費,"76,766",,"76,766"
通信費,"381,487",,"381,487"
事務用品費,"176,626",,"176,626"
租税公課,"1,225,655","1,220,655","5,000"
新聞図書費,"53,339",,"53,339"
支払手数料,"291,210",,"291,210"
処理料,"2,310,831","2,310,831",
諸会費,"115,750",,"115,750"
委託作業費,"2,282,256",,"2,282,256"
雑費,"184,368","16,000","168,368"
合計,"71,955,259","57,756,106","14,199,153"
