account,amount_0,amount_1
(売上高),,
売上高,"210,788,018",
産廃処理料,"6,103,641",
受託加工料,"9,444,504","226,336,163"
(売上原価),,
期首棚卸高,"1,711,214",
仕入高,"107,606,008",
当期製造原価,"57,756,106",
合計,"167,073,328",
期末棚卸高,"7,263,839","159,809,489"
売上総利益金額,,"66,526,674"
(販売費及び一般管理費),,"14,199,153"
営業利益金額,,"52,327,521"
(営業外収益),,
受取配当金,"115,000",
雑収入,"2,118,335","2,233,335"
(営業外費用),,
支払利息,"617,407","617,407"
経常利益金額,,"53,943,449"
(特別損失),,
固定資産除却損,"156,838","156,838"
税引前当期純利益金額,,"53,786,611"
法人税等,,"7,141,212"
当期純利益金額,,"46,645,399"
