"account","amount_0","amount_1"
"材料費","",""
"期首材料棚卸高","57,120,498",""
"材料仕入高","116,774,244",""
"合計","173,894,742",""
"期末材料棚卸高","41,964,344","131,930,398"
"労務費","",""
"賃金","55,159,271",""
"法定福利費","15,448,737",""
"福利厚生費","639,499",""
"役員報酬","10,440,000","81,687,507"
"外注加工費","","1,764,180"
"製造経費","",""
"電力費","3,100,206",""
"事務消耗品費","1,640,892",""
"水道費","133,450",""
"車両費","2,574,212",""
"運賃","2,870,760",""
"消耗品費","1,570,641",""
"賃借料","7,800,000",""
"保険料","4,237,590",""
"修繕費","662,200",""
"租税公課","841,880",""
"減価償却費","3,110,580",""
"旅費","5,177,594",""
"通信費","939,443",""
"手数料","1,551,826",""
"接待交際費","128,360",""
"交通費","1,259,700",""
"雑費","1,584,353","39,183,687"
"当期総製造費用","","254,565,772"
"期首仕掛品棚卸高","","14,395,401"
"合計","","268,961,173"
"期末仕掛品棚卸高","","8,790,926"
"当期製品製造原価","","260,170,247"
