account,金額
(材料費),
期首材料棚卸高,"1,640,949"
材料仕入高,"67,823,499"
その他材料仕入高,"2,700,353"
合計,"72,164,801"
期末材料棚卸高,"1,320,673"
当期材料費,"70,844,128"
(労務費),
賃金,"50,318,051"
賞与,"2,401,000"
法定福利費,"7,156,207"
当期労務費,"59,875,258"
(経費),
外注加工費,"67,463,196"
電力費,"2,365,224"
減価償却費,"4,658,989"
リース料,"156,000"
修繕費,"1,749,951"
消耗品費,"268,906"
地代家賃,"1,200,000"
交通費,"1,051,978"
産廃処理費,"251,893"
当期経費,"79,166,137"
当期総製造費用,"209,885,523"
期首仕掛品棚卸高,"1,855,561"
合計,"211,741,084"
期末仕掛品棚卸高,"3,096,904"
他勘定振替高,"688,864"
当期製品製造原価,"207,955,316"
