account,金額_0,金額_1
役員報酬,"8,200,000",
給料手当,"5,395,296",
賞与,"480,000",
通勤費,"76,093",
法定福利費,"2,710,296",
福利厚生費,"641,693",
採用教育費,"29,800",
荷造運賃,"18,986",
広告宣伝費,"447,000",
接待交際費,"585,763",
旅費交通費,"27,405",
通信費,"1,802,805",
消耗品費,"1,954,049",
事務用消耗品費,"921,806",
修繕費,"68,182",
水道光熱費,"646,986",
諸会費,"1,111,702",
支払手数料,"1,941,338",
車両費,"126,570",
地代家賃,"8,408,736",
賃借料,"4,104,632",
リース料,"23,920",
保険料,"1,737,520",
租税公課,"699,034",
減価償却費,"2,804,588",
長期前払費用償却,"95,000",
貸倒引当金繰入額,"182,500",
雑費,"372,336",
共済掛金,"120,000",
警備保障費,"293,703",
販売費及び一般管理費合計,,"46,027,739"
