account,金額_0,金額_1
(給与費),,
常勤職員給与,"990,315,714",
医師給,"69,398,439",
看護師給,"316,870,095",
医療技術員給,"222,171,599",
事務員給,"189,398,526",
退職給与金,"30,737,054",
介護職給,"161,740,001",
非常勤職員給与,"192,495,467",
医師給,"177,810,987",
看護師給,"14,610,708",
労務員給,"73,772",
法定福利費,"159,162,434","1,341,973,615"
(材料費),,
期首材料棚卸高,"14,828,107",
薬品費,"136,614,940",
給食材料費,"62,952,888",
診療材料費,"32,351,194",
医療消耗備品,"47,492,317",
小計,"294,239,446",
期末材料棚卸高,"-15,427,206","278,812,240"
(経費),,
福利厚生費,"6,776,772",
旅費交通費,"2,526,356",
職員被服費,"4,474,778",
通信運搬費,"7,990,858",
消耗品費,"3,567,793",
消耗備品費,"1,491,626",
図書費,"846,239",
水道光熱費,"44,130,092",
修繕費,"3,119,603",
賃借料,"37,822,810",
保険料,"19,628,222",
交際費,"779,497",
諸会費,"2,907,305",
租税公課,"38,148,528",
燃料費,"2,228,599",
リース料,"62,319,561",
広告宣伝費,"1,441,870",
支払手数料,"15,843,216",
事務用品費,"11,501,428",
管理諸費,"47,579,454",
清掃衛生費,"36,179,973",
寄付金,"30,000",
会議費,"21,990",
雑費,"2,009,928","353,366,498"
(委託費),,"195,023,049"
(研究研修費),,
教育費（看護婦）,"5,892,010",
教育費（その他）,"341,600",
学会研修費,"213,000","6,446,610"
(減価償却費),,
減価償却費,,"61,143,678"
