account,金額
(資産の部),
I流動資産,"(2,602,583,220)"
現金及び預金,"1,124,208,687"
受取手形,"52,307,391"
売掛金,"469,043,178"
有価証券,"120,920,882"
棚卸資産,"758,912,650"
前払費用,"1,386,176"
未収入金,"14,213,351"
立替金,"4,939,274"
仮払金,"59,451,631"
貸倒引当金,"-2,800,000"
II固定資産,"(2,912,116,534)"
有形固定資産,"(2,183,327,235)"
建物,"583,809,750"
構築物,"252,961,280"
機械装置,"69,597,476"
車両運搬具,"58,447,696"
什器備品,"301,863,820"
土地,"913,220,362"
リース資産,"1,458,000"
一括償却資産,"1,968,851"
無形固定資産,"(6,507,901)"
借地権・外,"1,450,000"
預託金,"966,120"
水道加入金・温泉利用権,"2,612,897"
ソフトウェア,"914,236"
電話加入権,"564,648"
投資その他の資産,"(722,281,398)"
投資有価証券,"450,000,000"
出資金,"100,000"
修繕積立金,"224,400"
長期前払費用,"19,246,053"
差入保証金,"3,104,000"
会員権,"5,260,000"
保険積立金,"244,346,945"
III繰延資産,(0)
資産の部合計,"5,514,699,754"
(負債の部),
I流動負債,"(466,800,358)"
未払金,"173,812,504"
未払費用,"219,566,004"
未払法人税等,"33,422,500"
未払消費税等,"33,110,400"
前受金,"356,950"
預り金,"5,107,000"
前受収益,"1,425,000"
II固定負債,"(3,481,277,800)"
社債,"2,269,000,000"
長期借入金,"1,210,674,000"
長期未払金,"1,603,800"
負債の部合計,"3,948,078,158"
(純資産の部),
I株主資本,"(1,566,621,596)"
1.資本金,"77,000,000"
2.資本剰余金,(0)
3.利益剰余金,"(1,489,621,596)"
(1)利益準備金,"65,632,000"
(2)その他利益剰余金,"(1,423,989,596)"
繰越利益剰余金,"1,423,989,596"
II評価・換算差額等,(0)
III新株予約権,(0)
純資産の部合計,"1,566,621,596"
負債・純資産の部合計,"5,514,699,754"
