sheet_name,c0,c1
株主資本等変動計算書,資本金_当期首残高,37000000
株主資本等変動計算書,資本金_当期末残高,37000000
株主資本等変動計算書,利益準備金_当期首残高,5400347
株主資本等変動計算書,利益準備金_当期末残高,5400347
株主資本等変動計算書,繰越利益剰余金_当期首残高,-86386600
株主資本等変動計算書,繰越利益剰余金_当期変動額_当期純利益,15219454
株主資本等変動計算書,繰越利益剰余金_当期変動額合計,15219454
株主資本等変動計算書,繰越利益剰余金_当期末残高,-71167146
株主資本等変動計算書,株主資本合計_当期首残高,-43986253
株主資本等変動計算書,株主資本合計_当期変動額_当期純利益,15219454
株主資本等変動計算書,株主資本合計_当期変動額合計,15219454
株主資本等変動計算書,株主資本合計_当期末残高,-28766799
株主資本等変動計算書,純資産合計_当期首残高,-43986253
株主資本等変動計算書,純資産合計_当期変動額_当期純利益,15219454
株主資本等変動計算書,純資産合計_当期変動額合計,15219454
株主資本等変動計算書,純資産合計_当期末残高,-28766799
