account,amount_0,amount_1
(売上高),,
印刷収入,"255,132,861",
出版収入,"34,079,370",
Web掲載収入,"156,775",
MOMO売上高,"6,119,757","295,488,763"
売上値引戻り高,"-6,964","295,481,799"
(売上原価),,
期首棚卸高,,"923,501"
当期製品製造原価,,"207,955,316"
合計,,"208,878,817"
期末棚卸高,,"2,173,425"
売上総利益,,"88,776,407"
(販売費及び一般管理費),,
販売費及び一般管理費,,"88,806,611"
営業損失,,"30,204"
(営業外収益),,
受取利息,,"1,807"
割引金戻入額,,"243,000"
受取配当金,,"2,100"
雑収入,,"672,240"
営業外収益合計,,"919,147"
(営業外費用),,
支払利息,,"688,943"
繰延資産償却,,"22,348"
営業外費用合計,,"711,291"
経常利益,,"177,652"
(特別利益),,
特別利益,,0
(特別損失),,
固定資産除却損,,5
税引前当期純利益,,"177,647"
法人税、住民税及び事業税,,"121,000"
当期純利益,,"56,647"
