account,amount_0,amount_1
(人件費),,
役員給与,"14,760,000",
事務所給与,"26,536,513",
賞与,"2,510,000",
法定福利費,"5,559,315",
福利厚生費,"1,788,209","51,154,037"
(経費),,
広告宣伝費,"2,050,000",
旅費交通費,"1,601,146",
交際接待費,"9,074,308",
会議費,"2,508,764",
通信費,"1,075,075",
水道光熱費,"1,242,230",
租税公課,"931,594",
消耗品費,"484,243",
事務用品費,"145,171",
リース料,"9,840",
修繕費,"1,646,827",
諸保険料,"202,230",
支払手数料,"356,349",
諸会費,"589,094",
新聞図書費,"18,000",
減価償却費,"6,232,954",
貸倒引当金繰入,"350,000",
燃料費,"319,230",
管理諸費,"1,319,775",
地代家賃,"5,098,000",
中退共掛金,"480,000",
住宅賃貸諸経費,"5,476,754",
雑費,"1,498,969","42,710,553"
合計,,"93,864,590"
