account,金額_0,金額_1
給料手当,"480,327,651",
退職金,"1,242,238",
雑給,"1,244,936,220",
法定福利費,"124,615,267",
福利厚生費,"35,681,351",
従業員交通費,"88,300,122",
広告宣伝費,"36,815,357",
運賃,"1,490,362",
旅費交通費,"13,924,033",
交際費,"482,012",
会議費,"337,632",
通信費,"9,809,896",
水道光熱費,"210,086,997",
租税公課,"13,734,333",
利息費用,"625,238",
消耗品費,"175,814,569",
地代家賃,"759,290,353",
賃借料,"3,110,631",
リース料,"631,800",
修繕費,"25,545,602",
保険料,"4,501,296",
支払手数料,"8,942,407",
支払報酬,"13,697,792",
諸会費,"4,412,441",
新聞図書費,"126,364",
減価償却費,"156,888,776",
減価償却(除去,"24,288,662",
長期前払費用償却,"5,898,281",
教育訓練費,"9,599,040",
システム利用料,"23,253,812",
研究開発費,"1,818,299",
調査費,"2,667,526",
業務委託費,"351,096,468",
履行差額,"-720,595",
決済手数料,"125,569,194",
衛生費,"45,740,961",
保守維持費,"5,896,940",
テナント経費,"45,112,302",
採用費,"34,498,004",
販売促進費,"6,175,485",
寄付金,"4,500",
雑費,"1,078,157",
合計,,"4,097,347,776"
