account,金額
旅費交通費,"2,075,009"
広告宣伝費,"11,529,458"
外注費,"42,369,120"
役員報酬,"159,000,000"
給与手当,"101,924,731"
賞与,"17,083,889"
法定福利費,"25,235,326"
福利厚生費,"33,623,567"
減価償却費,"137,575,218"
地代家賃,"7,001,763"
修繕費,"3,897,605"
事務用品費,"6,907,829"
通信費,"9,651,819"
水道光熱費,"23,055,064"
租税公課,"21,667,619"
寄付金,"133,000"
接待交際費,"35,007,261"
保険料,"28,373,690"
消耗品費,"2,368,309"
法律会計費,"5,960,727"
燃料費,"6,831,770"
諸会費・図書費・研修費,"5,453,153"
保安費・管理費,"15,361,155"
支払手数料,"5,905,537"
雑費,"1,820,616"
合計,"709,813,235"
商品,"747,549,341"
貯蔵品,"11,363,309"
合計,"758,912,650"
