"account","金額"
"科目",""
"資産の部",""
"(流動資産)","(207,966,754)"
"現金及び預金","155,113,948"
"営業未収入金","50,621,042"
"棚卸資産","279,500"
"前払費用","1,034,450"
"未収入金","9,989"
"立替金","78,350"
"預け金","829,475"
"(固定資産)","(433,446,903)"
"(有形固定資産)","(46,711,719)"
"建物","22,105,920"
"構築物","16,082,935"
"車両運搬具","825,193"
"工具、器具及び備品","7,697,671"
"(無形固定資産)","(3,014,734)"
"ソフトウェア","1,732,834"
"電話加入権","1,281,900"
"(投資その他の資産)","(383,720,450)"
"投資有価証券","378,727,630"
"出資金","130,000"
"敷金","4,800,000"
"リサイクル券","62,820"
"(繰延資産)","(0)"
"資産の部合計","641,413,657"
"科目",""
"負債の部",""
"(流動負債)","(204,858,228)"
"営業未払金","26,362,184"
"短期借入金","120,000,000"
"1年以内返済長期借入金","26,769,000"
"未払金","13,676,757"
"未払費用","1,844,566"
"未払法人税等","1,864,200"
"未払消費税等","9,943,400"
"預り金","2,152,629"
"前受収益","2,245,492"
"(固定負債)","(30,928,000)"
"長期借入金","30,928,000"
"負債の部合計","235,786,228"
"純資産の部",""
"(株主資本)","(405,627,429)"
"資本金","50,000,000"
"(資本剰余金)","(6,500,000)"
"資本準備金","6,500,000"
"(利益剰余金)","(349,127,429)"
"(その他利益剰余金)","(349,127,429)"
"別途積立金","13,000,000"
"繰越利益剰余金","336,127,429"
"評価・換算差額等","0)"
"新株予約権","0)"
"純資産の部合計","405,627,429"
"負債・純資産の部合計","641,413,657"
