account,金額
流動資産,"31,599,975"
現金及び預金,"31,599,975"
固定資産,"205,599,632"
有形固定資産,"7,780,146"
建物,"1,248,429"
建物付属設備,8
構築物,9
土地,"6,531,700"
投資その他の資産,"197,819,486"
長期貸付金,"666,686"
関係会社株式,"197,152,800"
資産合計,"237,199,607"
流動負債,"10,433,113"
未払金,"1,008,333"
未払法人税等,"208,800"
未払消費税等,"146,700"
前受金,"7,749,280"
預り金,"1,320,000"
固定負債,"140,500,000"
長期借入金,"15,000,000"
受入保証金,"4,500,000"
社債,"121,000,000"
負債合計,"150,933,113"
株主資本,"86,266,494"
資本金,"1,000,000"
利益剰余金,"85,266,494"
その他利益剰余金,"85,266,494"
繰越利益剰余金,"85,266,494"
純資産合計,"86,266,494"
負債純資産合計,"237,199,607"
