account,amount_0,amount_1
(材料費),,
期首材料棚卸高,"3,377,050",
材料費,"198,727,756",
合計,"202,104,806",
期末材料棚卸高,"3,549,927",
材料費合計,,"198,554,879"
(労務費),,
給料手当,"38,934,830",
賞与,"7,760,000",
法定福利費,"6,156,139",
福利厚生費,"4,439,026",
労務費合計,,"57,289,995"
(製造経費),,
外注費,"132,669,577",
旅費交通費,"10,195,579",
通勤費,"210,910",
通信費,"213,560",
消耗品費,"5,466,105",
事務用消耗品費,"9,226",
消耗工具費,"134,773",
車両費,"431,697",
修繕費,"90,900",
水道光熱費,"410,902",
賃借料,"1,585,378",
保険料,"2,070",
雑費,"724,938",
支払手数料,"3,600",
研修費,"610,433",
製造経費合計,,"152,759,648"
総製造費用,,"408,604,522"
期首仕掛品棚卸高,,"5,950,321"
合計,,"414,554,843"
期末仕掛品棚卸高,,"4,716,272"
当期製品製造原価,,"409,838,571"
