account,金額
(流動資産),"(139,461,485)"
現金及び預金,"105,575,915"
電子記録債権,"25,300"
売掛金,"26,654,209"
棚卸資産,"6,795,134"
短期貸付金,"60,000"
未収還付法人税等,692
立替金,"273,771"
仮払消費税等,"289,464"
貸倒引当金,"-213,000"
(固定資産),"(58,883,960)"
(有形固定資産),"(35,519,040)"
建物,"22,613,267"
構築物,"1,184,834"
機械及び装置,"8,361,610"
車両運搬具,"2,890,361"
工具、器具及び備品,"468,968"
(無形固定資産),"(487,534)"
ソフトウェア,"428,085"
水道施設利用権,"59,449"
(投資その他の資産),"(22,877,386)"
出資金,"241,376"
長期前払費用,"10,788,947"
保険積立金,"11,607,063"
保証金,"240,000"
(繰延資産),"(199,270)"
公共下水道受益者負担金,"199,270"
資産の部合計,"198,544,715"
(流動負債),"(63,198,072)"
支払手形,"19,000,345"
買掛金,"13,409,302"
1年以内返済長期借入金,"7,620,000"
未払金,"8,699,508"
未払費用,"6,140,362"
未払法人税等,"121,000"
未払折込料,"1,987,281"
未払消費税等,"3,329,600"
前受金,"2,879,281"
預り金,"3,393"
(固定負債),"(58,594,634)"
長期借入金,"57,885,000"
役員借入金,"709,634"
負債の部合計,"121,792,706"
(純資産の部),"(76,752,009)"
(株主資本),"(76,752,009)"
資本金,"10,000,000"
(資本剰余金),(0)
(利益剰余金),"(66,752,009)"
(利益準備金),"(1,100,000)"
(その他利益剰余金),"(65,652,009)"
繰越利益剰余金,"65,652,009"
(評価・換算差額等),(0)
(新株予約権),(0)
純資産の部合計,"76,752,009"
負債・純資産の部合計,"198,544,715"
