sheet_name,c0,c1
貸借対照表,現金及び預金,59856533
貸借対照表,受取手形,4516555
貸借対照表,売掛金,60367314
貸借対照表,商品,12806615
貸借対照表,製品,9814143
貸借対照表,原材料,41964344
貸借対照表,仕掛品,8790926
貸借対照表,前渡金,3245000
貸借対照表,仮払金,3080000
貸借対照表,流動資産計,204441430
貸借対照表,建物,35350742
貸借対照表,機械装置,679746
貸借対照表,車両運搬具,4
貸借対照表,工具器具備品,299239
貸借対照表,土地,60030598
貸借対照表,設備,4728138
貸借対照表,有形固定資産計,101088467
貸借対照表,電話加入権,1714336
貸借対照表,特許権,254240
貸借対照表,無形固定資産計,1968576
貸借対照表,投資有価証券,109100
貸借対照表,出資金,200000
貸借対照表,保証金,5158781
貸借対照表,権利金,400000
貸借対照表,水利負担金,401439
貸借対照表,投資その他の資産計,6269320
貸借対照表,固定資産計,109326363
貸借対照表,資産の部計,313767793
貸借対照表,支払手形,49048272
貸借対照表,買掛金,32382277
貸借対照表,預り保証金,1000000
貸借対照表,未払金,14121808
貸借対照表,未払費用,18075482
貸借対照表,前受金,59180000
貸借対照表,預り金,22234293
貸借対照表,流動負債計,196042132
貸借対照表,長期借入金,146492460
貸借対照表,固定負債計,146492460
貸借対照表,負債の部計,342534592
