account,amount_0,amount_1
(純売上高),,
ヘアー売上高,"162,628,844",
W.I.C売上高,"44,995,312",
ZEN売上,"1,717,416",
着付収入等売上高,"93,645,151",
リベート収入,"4,751,798",
売上値引戻り高,"-9,087,511",
純売上高合計,,"298,651,010"
(売上原価),,
期首棚卸高,"3,541,422",
商品仕入高,"43,987,697",
婚礼PD料,"20,350",
合計,"47,549,469",
期末棚卸高,"3,600,269",
売上原価合計,,"43,949,200"
売上総利益,,"254,701,810"
(販売費及び一般管理費),,
販売費及び一般管理費合計,,"261,969,607"
営業損失,,"-7,267,797"
(営業外収益),,
受取利息,"3,418",
雑収入,"10,494,152",
営業外収益合計,,"10,497,570"
(営業外費用),,
支払利息,"3,010,591",
雑損失,"59,400",
営業外費用合計,,"3,069,991"
経常利益,,"159,782"
税引前当期純利益,,"159,782"
法人税、住民税及び事業税,,"135,419"
当期純利益,,"24,363"
