account,amount_0,amount_1
(純売上高),,
整備収入,"9,566,400",
地代収入,"99,655,400",
外部整備収入,"7,000","109,228,800"
(売上原価),,
部品仕入高,"3,354,169",
合計,"(3,354,169)","3,354,169"
売上総利益,,"(105,874,631)"
(販売費及び一般管理費),,
広告宣伝費,"3,000",
役員報酬,"5,220,000",
法定福利費,"612,313",
福利厚生費,"4,802",
減価償却費,"52,104,988",
修繕費,"36,000",
消耗品費,"293,089",
旅費交通費,"4,046",
租税公課,"13,495,100",
交際接待費,"496,829",
保険料,"600,000",
通信運搬費,"34,594",
繰延資産償却,"309,400",
燃料費,"277,315",
会議費,"168,127",
地代家賃,"36,166",
支払報酬,"450,000",
出張旅費,"62,862",
被服費,"18,050",
ＰＣ関連維持費,"59,100",
教育訓練費,"20,882",
事務委託料,"1,800,000",
手数料,"33,850","76,140,513"
営業利益,,"(29,734,118)"
(営業外収益),,
受取利息,"8,840",
助成金収入,"1,181,000",
雑収入,"122,752","1,312,592"
(営業外費用),,
支払利息,"9,682,513",
雑損失,"77,266","9,759,779"
経常利益,,"(21,286,931)"
税引前当期純利益,,"(21,286,931)"
法人税住民税及事業税,,"3,384,553"
当期純利益,,"(17,902,378)"
