account,amount_0,amount_1
(材料費),,
材料仕入高,"12,263,260",
合計,"12,263,260","12,263,260"
(労務費),,
(原)賃金,"117,030,316",
(原)法定福利費,"18,807,424",
(原)福利厚生費,"10,771,971",
(原)実習生受入費,"3,348,295",
(原)退職金,"8,000,000","157,958,006"
(外注加工費),,"403,696,198"
(工事経費),,
(原)消耗品費,"26,346,771",
(原)車両関連費,"34,257,163",
(原)水道光熱費,"1,783,461",
(原)リース料,"76,221,704",
(原)地代家賃,"3,423,260",
(原)修繕費,"22,032,524",
(原)旅費交通費,"6,475,444",
(原)租税公課,"8,773,889",
(原)減価償却費,"58,915,304",
(原)支払保険料,"14,560,770",
(原)現場経費,"715,822",
(原)雑費,"1,662,845","255,168,957"
当期総工事費用,,"829,086,421"
期首仕掛工事原価,,"11,662,199"
合計,,"840,748,620"
期末仕掛工事原価,,"30,447,820"
当期完成工事原価,,"810,300,800"
