account,金額
資産の部,
(流動資産),"170,262,467"
現金,"4,012,498"
その他預金,"34,740,712"
定期預金,"99,402,613"
売掛金,"5,506,233"
棚卸商品,"5,125,941"
前払金,"160,355"
立替金,"844,250"
前払費用,"913,000"
未収入金,"19,636,435"
仮払金,"170,430"
貸倒引当金,"-250,000"
(固定資産),"1,029,373,502"
(有形固定資産),"630,916,633"
建物,"233,828,911"
建物附属設備,"29,362,718"
構築物,"50,276,222"
機械装置,"50,354,786"
車両運搬具,"30,356,256"
器具備品,"2,141,876"
土地,"230,972,664"
建設仮勘定,"3,623,200"
(無形固定資産),"3,288,285"
電話加入権,"217,757"
ソフトウェア,"3,070,528"
(投資その他の資産),"395,168,584"
投資有価証券,"2,204,318"
保険積立金,"44,035,750"
前払保険料,"109,114,865"
預託金,"267,280"
下水道受益者負担金,"166,667"
差入保証金,"882,000"
長期前払費用,"10,829,105"
福利厚生保険積立金,"30,778,299"
出資金,"196,890,300"
資産の部合計,"1,199,635,969"
負債の部,
(流動負債),"528,975,839"
買掛金,"74,128"
短期借入金,"320,000,000"
未払金,"169,371,239"
未払法人税等,"14,471,300"
未払消費税等,"19,495,000"
預り金,"5,564,172"
(固定負債),"287,576,550"
長期借入金,"279,060,000"
退職給付引当金,"8,516,550"
負債の部合計,"816,552,389"
純資産の部,
(株主資本),"383,083,580"
資本金,"10,000,000"
利益剰余金,"373,083,580"
利益準備金,"3,000,000"
その他利益剰余金,"370,083,580"
別途積立金,"100,000,000"
繰越利益剰余金,"270,083,580"
純資産の部合計,"383,083,580"
負債及び純資産合計,"1,199,635,969"
