account,amount_0,amount_1
役員報酬,"45,600,000",
役員賞与,"9,000,000",
給料手当,"2,030,000",
法定福利費,"4,410,204",
福利厚生費,"67,231",
広告宣伝費,"2,728",
車両費,"1,835,168",
会議費,"1,910,509",
諸会費,"479,620",
接待交際費,"7,866,187",
旅費交通費,"701,692",
通信運搬費,"948,361",
事務用品費,"57,555",
消耗品費,"193,150",
租税公課,"630,889",
減価償却費,"4,281,287",
地代家賃,"2,203,644",
修繕保守料,"240,226",
水道光熱費,"248,858",
保険料,"13,739,397",
支払手数料,"427,482",
図書研究費,"48,900",
リース料,"1,106,160",
管理費,"3,417,000",
寄付金,"30,000",
貸倒引当金繰入,"1,720,000",
雑費,"19,600",
合計,,"103,215,848"
