account,amount_0,amount_1
(売上高),,
工事売上高,"916,636,500",
付帯収入,"28,172,474",
販売用機械等売上,"80,582,080","1,025,391,054"
(売上原価),,
販売用機械等仕入,"62,578,580",
当期完成工事原価,"810,300,800",
合計,"872,879,380","872,879,380"
売上総利益,,"152,511,674"
(販売費及び一般管理費),,"103,215,848"
営業利益,,"49,295,826"
(営業外収益),,
受取利息,"1,631",
受取配当金,200,
雑収入,"56,638,540","56,640,371"
(営業外費用),,
支払利息,"5,326,169",
手形譲渡損,"170,217",
電子債権売却損,"412,303",
雑損失,"7,216,725","13,125,414"
経常利益,,"92,810,783"
(特別利益),,
固定資産売却益,"10,165,099",
貸倒引当金戻入,"1,900,000","12,065,099"
(特別損失),,
特別償却費,"68,000,825","68,000,825"
税引前当期純利益,,"36,875,057"
法人税等及び事業税,,"70,000"
当期純利益,,"36,805,057"
