"account","amount_0","amount_1"
"(材料費)","",""
"当期材料仕入高","3,995,994",""
"合計","3,995,994",""
"材料費合計","","3,995,994"
"(労務費)","",""
"賃金","31,698,250",""
"労務費合計","","31,698,250"
"(製造経費)","",""
"外注加工費","273,192,653",""
"処分費","66,176,825",""
"運搬費","12,064,360",""
"旅費交通費","7,987,631",""
"消耗品費","11,647,379",""
"車輌費","14,128,396",""
"修繕費","9,774,483",""
"水道光熱費","180,545",""
"地代家賃","165,000",""
"リース料","36,434,618",""
"保険料","4,312,620",""
"雑費","2,287,690",""
"製造経費合計","","438,352,200"
"総製造費用","","474,046,444"
"期首仕掛品棚卸高","","91,455,161"
"合計","","565,501,605"
"期末仕掛品棚卸高","","112,955,161"
"当期製品製造原価","","452,546,444"
