"account","amount_0","amount_1"
"(売上高)","",""
"売上高","456,322,980",""
"その他売上高","17,000,232",""
"雑売上高","64,597,839",""
"売上高合計","","537,921,051"
"(売上原価)","",""
"当期製品製造原価","452,546,444",""
"合計","452,546,444",""
"製品売上原価","","452,546,444"
"売上原価","","452,546,444"
"売上総利益金額","","85,374,607"
"(販売費及び一般管理費)","","82,694,572"
"営業利益金額","","2,680,035"
"(営業外収益)","",""
"受取利息","117",""
"受取配当金","4,400",""
"雑収入","3,320,075",""
"営業外収益合計","","3,324,592"
"(営業外費用)","",""
"支払利息","4,251,271",""
"手形売却損","732,291",""
"営業外費用合計","","4,983,562"
"経常利益金額","","1,021,065"
"(特別損失)","",""
"貸倒損失","31,290,000",""
"特別損失合計","","31,290,000"
"税引前当期純損失金額","","30,268,935"
"法人税、住民税及び事業税","","2,739,108"
"当期純損失金額","","33,008,043"
