account,金額_0,金額_1
役員報酬,"33,830,000",
給料手当,"160,274,683",
賞与,"38,550,000",
退職金,"12,000",
退職給付引当金繰入,"2,022,350",
法定福利費,"34,166,268",
福利厚生費,"14,376,903",
賃借料,"9,623,130",
修繕費,"5,692,802",
消耗品費,"7,991,389",
消耗備品費,"23,190,000",
水道光熱費,"16,002,353",
旅費交通費,"3,449,204",
委託加工費,"121,335,503",
租税公課,"13,294,190",
接待交際費,"4,357,522",
保険料,"30,726,603",
通信費,"1,169,571",
燃料費,"14,523,833",
広告宣伝費,"678,200",
寄付金,"457,000",
減価償却費,"51,253,399",
支払手数料,"1,120,214",
貸倒引当金繰入,"20,000",
事務用品費,"1,495,183",
リース料,"5,567,719",
地代家賃,"24,271,539",
新聞図書費,"125,024",
諸会費,"276,523",
車両費,"11,885,427",
支払報酬,"749,622",
雑費,"13,771,285",
販売費及び一般管理費合計,,"646,259,439"
