account,amount_0,amount_1
(売上高),,
売上高,"353,481,942",
売上高合計,,"353,481,942"
(売上原価),,
期首商品棚卸高,"70,916,003",
当期商品仕入高,"84,536,810",
工具費(売上原価),"1,771,600",
外注加工費(売上原価),"4,050,590",
合計,"161,275,003",
期末商品棚卸高,"76,072,887",
売上原価,,"85,202,116"
売上総利益金額,,"268,279,826"
(販売費及び一般管理費),,
販売費及び一般管理費合計,,"268,577,261"
営業損失金額,,"297,435"
(営業外収益),,
受取利息,"7,087",
受取配当金,900,
為替差益,"7,115,119",
雑収入,"301,882",
営業外収益合計,,"7,424,988"
(営業外費用),,
支払利息,"551,648",
営業外費用合計,,"551,648"
経常利益金額,,"6,575,905"
税引前当期純利益金額,,"6,575,905"
法人税等,,"562,359"
当期純利益金額,,"6,013,546"
