account,金額
(流動資産),"421,371,346"
現金及び預金,"154,947,241"
受取手形,"24,155,000"
電子債権,"23,650,000"
売掛金,"188,819,870"
未成工事支出金,"30,447,820"
前払費用,"1,071,415"
貸倒引当金,"-1,720,000"
(固定資産),"474,510,831"
(有形固定資産),"428,408,459"
建物,"8,931,975"
建物付属設備,"967,079"
構築物,"35,331,264"
機械装置,"73,985,127"
車両運搬具,"9,499,596"
工具・器具,"298,941"
土地,"298,827,810"
一括償却資産,"566,667"
(投資その他の資産),"46,102,372"
出資金,"30,000"
長期前払費用,"3,832,767"
保証金,"119,000"
保険積立金,"41,912,955"
預託金,"207,650"
資産の部計,"895,882,177"
(流動負債),"405,986,976"
買掛金,"159,050,850"
短期借入金,"129,316,000"
未払金,"2,034,881"
未払費用,"20,060,445"
未成工事受入金,"72,306,300"
未払消費税等,"23,218,500"
(固定負債),"352,859,670"
長期借入金,"352,859,670"
負債の部計,"758,846,646"
(株主資本),"137,035,531"
(資本金),"5,000,000"
(利益剰余金),"132,035,531"
利益準備金,"1,250,000"
(その他利益剰余金),"130,785,531"
繰越利益剰余金,"130,785,531"
(うち当期純利益),"36,805,057"
純資産の部計,"137,035,531"
負債・純資産の部計,"895,882,177"
