account,amount_0,amount_1
(純売上高),,
売上高,"405,065,021",
住宅賃貸料収入,"16,801,996",
売上値引・戻り高,"425,629","421,441,388"
(売上原価),,
期首棚卸高,"796,495",
当期製品製造原価,"325,429,803",
合計,"326,226,298",
期末棚卸高,"694,236","325,532,062"
売上総利益,,"95,909,326"
(販売費及び一般管理費),,"93,864,590"
営業利益,,"2,044,736"
(営業外収益),,
受取利息,"2,702",
受取配当金,"341,757",
賃貸料,"2,374,368",
有価証券売却益,"9,426,200",
雑収入,"7,639,797","19,784,824"
(営業外費用),,
支払利息・手形売却損,"3,864,562",
雑損失,"796,852","4,661,414"
経常利益,,"17,168,146"
(特別利益),,
固定資産売却益,"1,354,259",
貸倒引当金戻入益,"400,000","1,754,259"
税引前当期純利益,,"18,922,405"
法人税、住民税及び事業税,,"71,000"
当期純利益,,"18,851,405"
