account,金額
(流動資産),"(39,121,630)"
現金及び預金,"21,032,971"
売掛金,"17,968,661"
未収利息,"119,998"
(固定資産),"(871,941,634)"
(有形固定資産),"(783,432,634)"
建物,"536,064,589"
建物付属設備,"143,632,711"
構築物,"101,572,934"
工具器具備品,"2,162,400"
(投資その他の資産),"(88,509,000)"
差引保証金,"6,479,000"
預け金,"30,000"
長期貸付金,"82,000,000"
(流動負債),"(79,135,450)"
短期借入金,"71,556,000"
未払金,"510,390"
未払費用,"499,150"
預り金,"4,110"
未払法人税等,"3,383,200"
未払消費税等,"3,182,600"
(固定負債),"(821,110,000)"
長期借入金②,"821,110,000"
負債の部合計,"900,245,450"
(株主資本),"(10,817,814)"
(資本金),"(5,000,000)"
資本金,"5,000,000"
(利益剰余金),"(5,817,814)"
繰越利益剰余金,"5,817,814"
純資産の部合計,"10,817,814"
資産の部合計,"911,063,264"
負債及び純資産の部合計,"911,063,264"
