account,amount_0,amount_1
(売上高),,
売上高,"4,392,563,643",
売上高合計,,"4,392,563,643"
(売上原価),,
期首棚卸高,"3,549,071",
商品仕入高,"2,825,982,284",
仕入運賃,"501,332,406",
支払市場手数料,"51,297,411",
容器仕入高,"221,032,653",
合計,"3,603,193,825",
期末棚卸高,"5,125,941",
売上原価,,"3,598,067,884"
売上総利益金額,,"794,495,759"
(販売費及び一般管理費),,"646,259,439"
営業利益金額,,"148,236,320"
(営業外収益),,
受取利息,"3,089",
受取配当金,"205,071",
受取荷主交付金,"393,850",
受取家賃,"2,613,273",
雑収入,"65,720,143",
営業外収益合計,,"68,935,426"
(営業外費用),,
支払利息,"2,837,396",
雑損失,"6,970,115",
営業外費用合計,,"9,807,511"
経常利益金額,,"207,364,235"
(特別利益),,
固定資産売却益,"1,287,336",
投資有価証券売却益,"13,336,937",
特別利益合計,,"14,624,273"
(特別損失),,
投資損失,"100,535,124",
特別損失合計,,"100,535,124"
税引前当期純利益金額,,"121,453,384"
法人税・住民税及び事業税,,"16,661,942"
当期純利益金額,,"104,791,442"
