account,金額
(流動資産),"117,168,176"
現金及び預金,"61,939,644"
売掛金,"55,896,355"
前払費用,"13,177"
貸倒引当金,"-681,000"
(固定資産),"86,347,813"
(有形固定資産),"84,089,277"
建物,"2,976,390"
建物付属設備,"2,110,797"
機械装置,"4,995,428"
車両運搬具,"3,518,308"
工具器具備品,2
土地,"70,488,352"
(投資等),"2,258,536"
出資金,"40,000"
リサイクル預託金,"31,290"
前払保険料,"2,125,695"
保険積立金,"61,551"
資産の部合計,"203,515,989"
(流動負債),"149,545,143"
買掛金,"49,977,825"
短期借入金,"85,000,000"
一年以内返済長期借入金,"9,012,000"
未払費用,"1,667,935"
前受金,"836,550"
預り金,"73,833"
未払法人税等,"71,000"
預り敷金,"1,365,000"
未払消費税,"1,541,000"
(固定負債),"39,227,000"
長期借入金,"39,227,000"
負債の部合計,"188,772,143"
(株主資本),"14,743,846"
(資本金),"10,000,000"
資本金,"10,000,000"
(利益剰余金),"4,743,846"
利益準備金,"2,500,000"
配当平均積立金,"5,000,000"
繰越利益剰余金,"-2,756,154"
純資産の部合計,"14,743,846"
負債及び純資産の部合計,"203,515,989"
