account,金額_0,金額_1
(販売費及び一般管理費),,
役員報酬,"6,600,000",
給料手当,"41,500,557",
賞与,"643,000",
派遣人件費,"4,534,215",
法定福利費,"4,671,829",
福利厚生費,"549,469",
減価償却費,"5,496,388",
広告宣伝費,"3,249,496",
運賃,"529,928",
地代家賃,"20,775,350",
消耗品費,"1,556,151",
水道光熱費,"3,745,855",
旅費交通費,"2,387,837",
支払手数料,"3,123,403",
租税公課,"348,887",
交際費,"1,781,960",
保険料,"1,209,144",
通信費,"1,302,313",
諸会費,"396,380",
車輌費,"1,656,348",
新聞図書費,"32,750",
リース料,"168,432",
レンタル料,"1,102,508",
会議費,"710,159",
衛生管理費,"4,215,735",
店舗管理費,"465,846",
管理諸費,"145,300",
研修採用費,"195,898",
支払報酬,"3,000,192",
雑費,"313,044",
販売費及び一般管理費合計,,"116,408,374"
