account,金額
(流動資産),"(149,973,538)"
現金・預金,"83,446,837"
受取手形,"1,371,557"
売掛金,"49,052,060"
貯蔵品,"694,236"
立替金,"105,000"
貸付金,"550,000"
未収入金,"11,140,000"
前払費用,"3,963,848"
貸倒引当金,"-350,000"
(固定資産),"(443,963,842)"
(有形固定資産),"(342,072,914)"
建物,"10,624,131"
建物附属設備,"2,200,883"
構築物,"3,518,006"
機械装置,3
車両,"32,795,424"
工具器具備品,"13,937,796"
土地,"278,996,671"
(無形固定資産),"(4,447,856)"
借地権,"584,176"
ソフトウェア,"3,401,402"
電話加入権,"462,278"
(投資その他の資産),"(97,443,072)"
出資金,"530,000"
投資有価証券,"5,913,072"
子会社株式,"91,000,000"
資産合計,"593,937,380"
(流動負債),"(65,464,895)"
買掛金,"7,720,170"
短期借入金,"30,000,000"
未払法人税等,"71,000"
未払費用,"18,959,543"
預り金,"1,780,082"
未払消費税等,"6,934,100"
(固定負債),"(419,785,000)"
長期借入金,"399,209,000"
関係会社借入金,"20,000,000"
預り保証金,"576,000"
負債合計,"485,249,895"
(株主資本),"(108,687,485)"
(資本金),"(10,000,000)"
(利益剰余金),"(98,687,485)"
利益準備金,"2,500,000"
(その他利益剰余金),"(96,187,485)"
別途積立金,"80,000,000"
繰越利益剰余金,"16,187,485"
純資産合計,"108,687,485"
負債・純資産合計,"593,937,380"
