account,金額
科目,
資産の部,
(流動資産),"(1,258,104,592)"
現金及び預金,"262,791,733"
受取手形,"110,000"
売掛金,"184,987,471"
商品,"353,812,533"
仕掛品,"377,027,661"
短期貸付金,"25,677,452"
立替金,"34,635,715"
未収入金,"6,242,053"
仮払金,"48,000"
前払費用,"12,771,974"
(固定資産),"(719,629,556)"
(有形固定資産),"(681,288,150)"
建物,"273,881,561"
建物付属設備,"5,178,324"
構築物,"641,669"
車両運搬具,"180,194,296"
工具器具備品,"8,978,519"
土地,"212,413,781"
(無形固定資産),"(337,016)"
電話加入権,"337,016"
(投資その他の資産),"(38,004,390)"
出資金,"2,350,000"
保証金,"33,216,300"
敷金,"1,860,000"
会員権,"200,000"
預託金,"378,090"
資産の部計,"1,977,734,148"
科目,
負債の部,
(流動負債),"(1,086,423,783)"
支払手形,"36,900,000"
短期借入金,"574,079,625"
未払金,"206,072,562"
前受金,"264,517,715"
預り金,"3,937,881"
未払法人税等,"916,000"
(固定負債),"(833,838,000)"
長期借入金,"833,838,000"
負債の部計,"1,920,261,783"
純資産の部,
(株主資本),"(57,472,365)"
(資本金),"(70,000,000)"
(利益剰余金),"(-12,527,635)"
利益準備金,"12,500,000"
(その他利益剰余金),"(-25,027,635)"
繰越利益剰余金,"-25,027,635"
(うち当期純利益),"(355,478,749)"
純資産の部計,"57,472,365"
負債・純資産の部計,"1,977,734,148"
