account,amount_0,amount_1
売上高,,
会費収入,"30,223,250",
用具代収入,"9,386,982",
合宿費収入,"22,515,040",
指導料他収入,"28,235,990",
売上高合計,,"90,361,262"
売上原価,,
支払用具代,"5,908,149",
施設使用料,"5,103,746",
支払合宿費,"8,918,698",
その他支払高,"11,262,498",
合計,"31,193,091","31,193,091"
売上総利益,,"59,168,171"
販売費及び一般管理費,,
役員報酬,"10,800,000",
給与手当,"28,259,335",
雑給,"2,481,450",
法定福利費,"4,840,263",
厚生費,"121,740",
広告宣伝費,"72,600",
荷造運賃,840,
減価償却費,"2,570,801",
賃借料,"935,880",
地代家賃,"4,945,900",
修繕費,"103,048",
消耗品費,"407,278",
水道光熱費,"56,580",
旅費交通費,"2,020,445",
手数料,"130,931",
会議費,"2,920",
租税公課,"4,917,254",
交際接待費,"59,223",
保険料,"36,070",
通信費,"844,936",
参加登録費,"1,165,646",
スポーツ保険料,"65,600",
印刷費,"38,328",
雑費,"821,100",
販売費及び一般管理費合計,,"65,698,168"
営業損失,,"6,529,997"
営業外収益,,
受取利息,"25,515",
貸倒引当金戻入益,"16,000",
雑収入,"1,158,564",
営業外収益合計,,"1,200,079"
