account,金額
(流動資産),"624,274,215"
現金及び預金,"230,992,760"
保険未収金,"246,548,782"
自由未収金,"78,425,687"
薬品,"11,997,498"
診療材料,"2,512,387"
医療消耗備品,"917,321"
貯蔵品,"1,435,500"
短期貸付金,"4,992,485"
前払費用,"995,822"
前渡金,"2,640,000"
仮払金,"4,387,487"
未収入金,"21,645,567"
立替金,"21,457,893"
(固定資産),"872,442,824"
(有形固定資産),"604,951,544"
土地,"256,913,850"
建物,"221,495,480"
建物附属設備,"88,816,009"
構築物,"2,273,801"
医療機械,"17,977,812"
器具備品,"14,904,140"
車両,"2,570,452"
(無形固定資産),"62,673,784"
借地権,"61,833,600"
電話加入権,"840,184"
(その他の資産),"204,817,496"
出資金,"250,000"
敷金,"2,091,400"
生命保険積立金,"133,372,983"
保証金,"64,800,000"
長期前払費用,"3,503,107"
絵画,"700,000"
(繰延資産),"1,751,474"
開業費,"1,751,474"
資産合計,"1,498,468,513"
(流動負債),"303,256,615"
買掛金,"35,611,094"
未払金,"134,127,954"
短期借入金,"50,000,000"
預り金,"15,870,762"
未払費用,"33,325,957"
賞与引当金,"31,200,000"
患者預り保証金,"544,800"
未払法人税等,"36,000"
前受金,"2,538,000"
仮受金,"3,048"
(固定負債),"969,610,572"
長期借入金,"951,435,373"
退職給与引当金,"18,175,199"
(引当金),"2,109,000"
貸倒引当金,"2,109,000"
負債合計,"1,274,976,187"
(資本金),"50,000,000"
(剰余金),"173,492,326"
当期未処分利益,"173,492,326"
(うち当期損失),"-72,949,038"
資本合計,"223,492,326"
負債・資本合計,"1,498,468,513"
