account,金額
現金預金,"11,183,357"
受取手形,
売掛金,
商品,
原材料,
リネン品在庫,
貯蔵品,
前払費用,
短期貸付金,
未収入金,
仮払金,
未収還付法人税等,8
未収還付消費税等,"236,700"
(控除)貸倒引当金,
流動資産合計,"11,420,065"
建物,"1,208,534"
設備,"140,673"
構築物,"334,524"
機械装置,
車両運搬具,
什器備品,
土地,
リース資産,"331,200"
有形固定資産合計,"2,014,931"
電話加入権,
借地権,"5,000,000"
ソフトウェア,
無形固定資産合計,"5,000,000"
出資金,"170,200"
長期前払費用,
保証金,
預託金,
投資その他の資産合計,"170,200"
固定資産合計,"7,185,131"
繰延資産合計,
資産合計,"18,605,196"
支払手形,
買掛金,
短期借入金,"30,000,000"
未払金,"265,315"
未払費用,
未払法人税等,"80,000"
未払消費税等,
預り金,
仮受金,
流動負債合計,"30,345,315"
長期借入金,
個人借入金,
長期未払金,"364,320"
固定負債合計,"364,320"
負債合計,"30,709,635"
資本金,"10,000,000"
資本準備金,
その他の資本剰余金,
資本剰余金合計,
利益準備金,
別途積立金,
繰越利益剰余金,"-22,104,439"
利益剰余金合計,"-22,104,439"
自己株式,
株主資本合計,"-12,104,439"
評価・換算差額等合計,
新株予約権,
純資産合計,"-12,104,439"
負債・純資産合計,"18,605,196"
