"account","amount_0","amount_1"
"(材料費)","",""
"期首原材料棚卸高","11,386,075",""
"原材料仕入高","180,675,353",""
"包装費","17,494,448",""
"期末原材料棚卸高","7,944,000",""
"材料費合計","","201,611,876"
"(労務費)","",""
"賃金","202,486,292",""
"工員賞与","9,147,500",""
"法定福利費","27,879,322",""
"厚生費","1,433,723",""
"労務費合計","","240,946,837"
"(製造経費)","",""
"雑費","67,500",""
"外注加工費","1,897,948,569",""
"水道光熱費","32,141,601",""
"荷造運賃","91,094,992",""
"消耗品費","15,034,932",""
"旅費交通費","7,977,697",""
"修繕費","23,634,992",""
"賃借料","7,112,806",""
"租税公課","41,000",""
"保険料","165,190",""
"通信費","1,831,214",""
"管理費","198,790",""
"製造雑費","8,761,836",""
"委託費","12,758,499",""
"製造経費合計","","2,098,769,618"
"当期総製造費用","","2,541,328,331"
"期首仕掛品棚卸高","99,466,328",""
"期末仕掛品棚卸高","87,931,919",""
"他勘定振替","16,412,687",""
"当期製品製造原価合計","","2,536,450,053"
