account,金額
(流動資産),"192,043,310"
現金及び預金,"93,520,853"
受取手形,"42,153,500"
完成工事未収入金,"38,499,121"
貸倒引当金,"-483,000"
原材料,"3,549,927"
仕掛品,"4,716,272"
前払費用,"2,221,201"
短期貸付金,"5,181,336"
仮払金,"190,000"
未収還付法人税等,"2,494,100"
(固定資産),"25,372,230"
(有形固定資産),"7,519,577"
構築物,"1,950,000"
車両運搬具,"14,398,198"
工具器具備品,"888,888"
減価償却累計額,"-9,717,509"
(投資その他の資産),"17,852,653"
投資有価証券,"4,938,511"
出資金,"10,000"
差入保証金,"6,430,000"
長期貸付金,"3,970,000"
長期前払費用,"2,530,492"
預託金,"28,650"
貸倒引当金,"-55,000"
資産の部合計,"217,415,540"
(流動負債),"55,847,980"
工事未払金,"34,572,409"
未払金,"6,793,773"
未払法人税等,"35,000"
未払消費税等,"2,049,900"
預り金,"420,898"
1年以内返済長期借入金,"11,976,000"
(固定負債),"99,730,400"
長期借入金,"91,604,000"
長期未払金,"8,126,400"
負債の部合計,"155,578,380"
(株主資本),"61,837,160"
資本金,"10,000,000"
利益剰余金,"51,837,160"
その他利益剰余金,"51,837,160"
繰越利益剰余金,"51,837,160"
純資産の部合計,"61,837,160"
負債及び純資産合計,"217,415,540"
