"account","amount_0","amount_1"
"流動資産","",""
"現金及び預金","59,856,533",""
"受取手形","4,516,555",""
"売掛金","60,367,314",""
"商品","12,806,615",""
"製品","9,814,143",""
"原材料","41,964,344",""
"仕掛品","8,790,926",""
"前渡金","3,245,000",""
"仮払金","3,080,000",""
"流動資産計","","204,441,430"
"固定資産","",""
"有形固定資産","",""
"建物","35,350,742",""
"機械装置","679,746",""
"車両運搬具","4",""
"工具器具備品","299,239",""
"土地","60,030,598",""
"建設仮勘定","4,728,138",""
"有形固定資産計","101,088,467",""
"無形固定資産","",""
"電話加入権","1,714,336",""
"特許権","254,240",""
"無形固定資産計","1,968,576",""
"投資その他の資産","",""
"投資有価証券","109,100",""
"出資金","200,000",""
"保証金","5,158,781",""
"権利金","400,000",""
"水利負担金","401,439",""
"投資その他の資産計","6,269,320",""
"固定資産計","","109,326,363"
"資産の部計","","313,767,793"
"流動負債","",""
"支払手形","49,048,272",""
"買掛金","32,382,277",""
"預り保証金","1,000,000",""
"未払金","14,121,808",""
"未払費用","18,075,482",""
"前受金","59,180,000",""
"預り金","22,234,293",""
"流動負債計","","196,042,132"
"固定負債","",""
"長期借入金","146,492,460",""
"固定負債計","","146,492,460"
"負債の部計","","342,534,592"
