account,amount_0,amount_1
I株主資本,,
1.資本金,,
当期首残高,,"77,000,000"
当期変動額,,0
当期末残高,,"77,000,000"
2.利益剰余金,,
(1)利益準備金,,
当期首残高,,"65,632,000"
当期変動額,,0
当期末残高,,"65,632,000"
(2)その他利益剰余金,,
繰越利益剰余金,,
当期首残高,,"1,364,804,223"
当期変動額,,
当期純利益,"59,185,373","59,185,373"
当期末残高,,"1,423,989,596"
その他利益剰余金合計,,
当期首残高,,"1,364,804,223"
当期変動額,,
当期純利益,"59,185,373","59,185,373"
当期末残高,,"1,423,989,596"
株主資本合計,,
当期首残高,,"1,507,436,223"
当期変動額,,
当期純利益,"59,185,373","59,185,373"
当期末残高,,"1,566,621,596"
II評価・換算差額等,,
当期首残高,,0
当期変動額,,0
当期末残高,,0
III新株予約権,,
当期首残高,,0
当期変動額,,0
当期末残高,,0
純資産の部合計,,
当期首残高,,"1,507,436,223"
当期変動額,,
当期純利益,"59,185,373","59,185,373"
当期末残高,,"1,566,621,596"
