account,amount_0,amount_1
(材料費),,
期首材料棚卸高,"1,644,155",
材料仕入高,"46,686,953",
合計,"48,331,108",
期末材料棚卸高,"1,988,584","46,342,524"
(労務費),,
給料賃金,"40,730,514",
賞与,"437,000",
法定福利費,"3,566,666","44,734,180"
(製造経費),,
外注加工費,"1,415,805",
水道光熱費,"3,195,590",
備品・消耗品費,"114,766",
リース料,"11,160",
地代家賃,"4,031,772",
保管料,"533,717",
減価償却費,"1,524,411",
修繕費,"9,591",
旅費交通費,"838,631",
包装用品費,"15,596,900","27,272,343"
当期総製造費用,,"118,349,047"
期首仕掛品棚卸高,,"271,088"
合計,,"118,620,135"
期末仕掛品棚卸高,,"908,374"
他勘定振替高,,0
当期製品製造原価,,"117,711,761"
