account,amount_0,amount_1
総売上高,"29,275,956",
売上値引戻り高,,
純売上高,"29,275,956",
期首商品製品棚卸高,"40,802",
当期製品製造原価,"20,766,852",
当期商品総仕入高,"24,486",
仕入値引戻し高,,
計,"20,832,140",
期末商品製品棚卸高,,
売上原価,"20,832,140",
売上総利益,"8,443,816",
広告宣伝費,,
荷造運賃,,
外注費,,
補修費,,
役員報酬,"1,200,000",
給料,,
法定福利費,,
福利厚生費,,
退職金,,
減価償却費,"356,936",
地代家賃,,
リース料,"27,120",
修繕費,"100,600",
事務用品費,,
消耗品費,"29,354",
水道光熱費,,
旅費交通費,,
租税公課,,
交際接待費,"53,155",
保険料,,
通信費,"198,130",
支払手数料,"1,697,460",
車輌諸費,,
寄付金,,
会議費,,
雑費,"809,900",
計,"4,472,655",
営業利益,"3,971,161",
受取利息,62,
受取配当金,,
雑収入,"1,422,891",
計,"1,422,953",
支払利息,"600,000",
手形売却損,,
貸倒損失,,
雑損失,,
計,"600,000",
経常利益,"4,794,114",
固定資産売却益,,
貸倒引当金繰入,,
保険金収入,,
計,,
固定資産売却損,,
固定資産除却損,1,
リース解約損,"337,124",
商品廃棄損,,
汚染土壌対策費,"1,800,000",
計,"2,137,125",
税引前当期純利益,"2,656,989",
法人税、住民税及び事業税,"80,000",
法人税等調整額,,
当期純利益,"2,576,989",
