account,金額
(流動資産),"249,444,653"
現金及び預金,"227,487,025"
売掛金,"9,146,531"
商品,"3,600,269"
前払費用,"5,651,464"
立替金,"97,361"
未収入金,"3,462,003"
(固定資産),"41,972,861"
(有形固定資産),"18,683,856"
造作,"18,379,587"
建物付属設備,"304,259"
車両運搬具,2
工具器具備品,8
(無形固定資産),"84,560"
電話加入権,"72,800"
リサイクル預託金,"11,760"
(投資その他の資産),"23,204,445"
長期貸付金,"16,340,985"
投資有価証券,"4,820,000"
敷金,"1,698,960"
出資金,"20,000"
保証金,"324,500"
資産の部合計,"291,417,514"
(流動負債),"40,132,836"
買掛金,"2,446,504"
未払消費税,"2,479,900"
短期借入金,"30,000,000"
未払金,"4,189,602"
預り金,"956,330"
未払法人税等,"60,500"
(固定負債),"227,049,000"
長期借入金,"227,049,000"
負債の部合計,"267,181,836"
(株主資本),"24,235,678"
(資本金),"1,000,000"
資本金,"1,000,000"
(利益剰余金),"23,235,678"
(その他利益剰余金),"23,235,678"
繰越利益剰余金,"23,235,678"
純資産の部合計,"24,235,678"
負債及び純資産の部合計,"291,417,514"
