"account","金額","amount_1"
"(売上高)","",""
"売上高","603,648",""
"手数料売上","187,684,497",""
"賃貸料収入","555,050,000","743,338,145"
"(売上原価)","",""
"仕入高","2,170,001",""
"外注費","36,000,000","38,170,001"
"売上総利益","","705,168,144"
"(販売費及び一般管理費)","","609,216,255"
"営業利益","","95,951,889"
"(営業外収益)","",""
"受取利息","672,154",""
"受取配当金","230,046",""
"受取手数料","90,962",""
"受取家賃","3,626,000",""
"雑収入","2,899,102","7,518,264"
"(営業外費用)","",""
"支払利息割引料","33,132,856",""
"雑損失","15,295,140","48,427,996"
"経常利益","","55,042,157"
"(特別利益)","",""
"固定資産売却収入","34,710","34,710"
"(特別損失)","",""
"固定資産売却原価","19,362","19,362"
"税引前当期純利益","","55,057,505"
"法人税及び住民税額","","312,500"
"当期純利益","","54,745,005"
