"account","amount_0","amount_1"
"株主資本","",""
"1資本金","",""
"当期首残高","","50,000,000"
"当期変動額","","0"
"当期末残高","","50,000,000"
"2資本剰余金","",""
"資本準備金","",""
"当期首残高","","6,500,000"
"当期変動額","",""
"当期末残高","","6,500,000"
"3利益剰余金","",""
"その他利益剰余金","",""
"別途積立金","",""
"当期首残高","","13,000,000"
"当期変動額","","0"
"当期末残高","","13,000,000"
"繰越利益剰余金","",""
"当期首残高","","309,969,292"
"当期変動額","",""
"当期純利益","26,158,137","26,158,137"
"当期末残高","","336,127,429"
"その他利益剰余金合計","",""
"当期首残高","","322,969,292"
"当期変動額","",""
"当期純利益","26,158,137","26,158,137"
"当期末残高","","349,127,429"
"株主資本合計","",""
"当期首残高","","379,469,292"
"当期変動額","",""
"当期純利益","26,158,137","26,158,137"
"当期末残高","","405,627,429"
"評価・換算差額等","",""
"当期首残高","","0"
"当期変動額","","0"
"当期末残高","","0"
"Ⅲ新株予約権","",""
"当期首残高","","0"
"当期変動額","","0"
"当期末残高","","0"
"純資産の部合計","",""
"当期首残高","","379,469,292"
"当期変動額","",""
"当期純利益","26,158,137","26,158,137"
"当期末残高","","405,627,429"
