account,金額
(流動資産),"173,394,585"
現金,"3,941,302"
預金,"90,576,994"
売掛金,"26,870,118"
商品,"49,702,891"
仕掛品,"250,400"
貯蔵品,"1,591,380"
前払費用,"729,500"
貸倒引当金,"-268,000"
(固定資産),"4,492,151"
(有形固定資産),"2,751,751"
建物,"1,903,540"
建物附属設備,"11,216"
構築物,"836,991"
機械装置,1
車両運搬具,1
工具器具備品,2
(投資その他の資産),"1,740,400"
出資金,"700,000"
保証金,"30,000"
敷金,"1,000,000"
リサイクル預託金,"10,400"
資産合計,"177,886,736"
(流動負債),"15,871,247"
買掛金,"4,324,771"
短期借入金,"457,360"
未払費用,"4,278,899"
未払法人税等,"2,031,200"
未払消費税等,"3,071,300"
預り金,"1,707,717"
(固定負債),"64,181,000"
長期借入金,"64,181,000"
負債合計,"80,052,247"
(株主資本),"97,834,489"
資本金,"3,000,000"
(利益剰余金),"94,834,489"
その他利益剰余金,"94,834,489"
繰越利益剰余金,"94,834,489"
純資産合計,"97,834,489"
負債純資産合計,"177,886,736"
