"account","amount_0"
"株主資本",""
"資本金",""
"当期首残高及び当期末残高","71,500,000"
"資本剰余金",""
"資本準備金",""
"当期首残高及び当期末残高","11,500,000"
"資本剰余金合計",""
"当期首残高及び当期末残高","11,500,000"
"利益剰余金",""
"利益準備金",""
"当期首残高及び当期末残高","3,660,000"
"その他利益剰余金",""
"繰越利益剰余金",""
"当期首残高","-596,877,294"
"当期変動額当期純利益","126,807,204"
"当期末残高","-470,070,090"
"別途積立金",""
"当期首残高及び当期末残高","800,600,000"
"利益剰余金合計",""
"当期首残高","207,382,706"
"当期変動額","126,807,204"
"当期末残高","334,189,910"
"株主資本合計",""
"当期首残高","290,382,706"
"当期変動額","126,807,204"
"当期末残高","417,189,910"
"純資産合計",""
"当期首残高","290,382,706"
"当期変動額","126,807,204"
"当期末残高","417,189,910"
