account,amount_0,amount_1
(純売上高),,
売上高,"8,188,368,499",
売上値引・戻り高,"370,694","8,187,997,805"
(売上原価),,
期首棚卸高,"47,996,887",
仕入高,"3,088,149,725",
仕入値引・戻し高,"2,583,582",
店舗食材製造費用,"-10,187,924",
合計,"3,123,375,106",
期末棚卸高,"50,417,976","3,072,957,130"
売上総利益,,"5,115,040,675"
(販売費及び一般管理費),,"4,097,347,776"
営業利益,,"1,017,692,899"
(営業外収益),,
受取利息,"7,528",
助成金収入,"7,339,000",
保険金収入,"351,095",
雑収入,"12,067,844","19,765,467"
(営業外費用),,
支払利息,"9,205,774",
支払保証料,"600,800",
店舗閉鎖損失,"900,000",
為替差損,"63,851",
雑損失,"224,763","10,995,188"
経常利益,,"1,026,463,178"
(特別利益),,
固定資産売却益,"400,000","400,000"
(特別損失),,
固定資産除却損,"1,823,750",
減損損失,"69,366,541","71,190,291"
税引前当期純利益,,"955,672,887"
法人税、住民税及び事業税,,"310,450,635"
法人税等調整額,,"-42,726,953"
当期純利益,,"687,949,205"
