"account","amount_0","amount_1"
"売上高","",""
"商品売上高","189,951,915",""
"工事売上高","168,679,222",""
"その他の売上高","204,017,917",""
"売上値引戻り高","-80","562,648,974"
"売上原価","",""
"期首棚卸高","28,737,328",""
"商品仕入高","73,570,593",""
"外注仕入高","82,187,409",""
"当期製品製造原価","260,170,247",""
"合計","444,665,577",""
"期末棚卸高","22,620,758","422,044,819"
"売上総利益","","140,604,155"
"販売費及び一般管理費","",""
"役員報酬","4,080,000",""
"給料手当","41,809,924",""
"法定福利費","6,436,095",""
"福利厚生費","421,516",""
"広告宣伝費","979,174",""
"運賃","1,360,155",""
"旅費交通費","5,110,434",""
"アフター活動費","2,500,602",""
"諸会費","317,200",""
"販売活動費","502,065",""
"水道光熱費","731,917",""
"事務用消耗品費","1,305,034",""
"備品消耗品費","189,003",""
"地代家賃","10,113,720",""
"保険料","1,252,840",""
"租税公課","23,361,663",""
"減価償却費","201,426",""
"接待交際費","549,719",""
"手数料","6,674,308",""
"通信費","1,270,458",""
"管理諸費","1,452,000",""
"車両費","8,252,358",""
"雑費","702,181","119,573,792"
"営業利益","","21,030,363"
"営業外収益","",""
"受取利息","513",""
"受取配当金","3,000",""
"雑収入","995,890","999,403"
"営業外費用","",""
"支払利息","4,499,177",""
"割引料","782,279",""
"雑損失","36,756","5,318,212"
"経常利益","","16,711,554"
"税引前当期純利益","","16,711,554"
"法人税等充当額","","1,492,100"
"当期純利益","","15,219,454"
