"account","金額"
"科目",""
"資産の部",""
"(流動資産)","204,747,827"
"現金及び預金","9,981,724"
"受取手形","34,587,000"
"売掛金","40,790,400"
"未成工事支出金","112,955,161"
"前払費用","3,829,200"
"未収入金","1,064,752"
"貸倒引当金","-305,705"
"未収還付法人税等","209,000"
"関係会社貸付金","1,636,295"
"(固定資産)","141,539,832"
"(有形固定資産)","131,883,885"
"建物","1,020,394"
"建物附属設備","1,932,175"
"構築物","18,541,952"
"機械装置","48,333,853"
"車両運搬具","11,351,497"
"工具器具備品","4,819,518"
"土地","33,000,000"
"リース資産","12,884,496"
"(無形固定資産)","620,000"
"保証金","620,000"
"(投資その他の資産)","9,035,947"
"出資金","410,000"
"その他積立金","2,698,489"
"共済積立金","2,594,043"
"敷金","227,200"
"破産・更生債権","1"
"長期前払費用","2,964,714"
"リサイクル預託金","141,500"
"資産の部合計","346,287,659"
"科目",""
"負債の部",""
"(流動負債)","85,156,722"
"買掛金","26,467,383"
"未払費用","15,240,459"
"未払法人税等","35,000"
"未払消費税等","6,437,100"
"預り金","2,269,779"
"前受収益","7,001"
"仮受金","113,000"
"割引手形","34,048,000"
"裏書手形","539,000"
"(固定負債)","292,991,892"
"長期借入金","265,689,575"
"リース負債","9,379,400"
"役員借入金","17,922,917"
"負債の部合計","378,148,614"
"純資産の部",""
"(株主資本)","-31,860,955"
"資本金","3,000,000"
"利益剰余金","-34,860,955"
"その他利益剰余金","-34,860,955"
"繰越利益剰余金","-34,860,955"
"純資産の部合計","-31,860,955"
"負債及び純資産合計","346,287,659"
