account,金額
資産の部,
(流動資産),"271,359,463"
現金,"282,468"
預金,"217,043,598"
未収運賃,"53,293,238"
仮払金,"877,164"
前払費用,
未収入金,"181,995"
貸倒引当金,"-319,000"
(固定資産),"276,861,601"
(有形固定資産),"248,294,601"
建物,"3,305,035"
付属設備,"3,683,851"
構築物,"409,270"
機械装置,"553,772"
車両運搬具,"16,602,858"
什器備品,3
土地,"223,739,812"
(無形固定資産),"599,000"
電話加入権,"599,000"
(投資その他の資産),"27,968,000"
投資有価証券,"27,918,000"
出資金,"40,000"
差入保証金,"10,000"
資産合計,"548,221,064"
負債・純資産の部,
(流動負債),"226,817,045"
短期借入金,"159,080,000"
未払費用,"45,164,415"
法人税等充当金,"1,758,600"
未払消費税,"10,771,200"
前受金,"9,900"
預り金,"6,970,123"
仮受金,"3,062,807"
(固定負債),"93,590,000"
長期借入金,"93,590,000"
負債合計,"320,407,045"
(株主資本),"227,814,019"
資本金,"10,000,000"
(利益剰余金),"217,814,019"
その他利益剰余金,"217,814,019"
別途積立金,"216,000,000"
繰越利益剰余金,"1,814,019"
純資産合計,"227,814,019"
負債・純資産合計,"548,221,064"
