"account","金額"
"資産の部",""
"(流動資産)",""
"現金","247,057"
"当座預金","237,727,339"
"普通預金","24,418,550"
"受取手形","86,620,476"
"売掛金","492,858,142"
"製品","48,323,200"
"原材料","7,944,000"
"仕掛品","87,931,919"
"貯蔵品","211,020"
"前払費用","25,332,428"
"短期貸付金","176,735,685"
"立替金","23,021,974"
"仮払金","42,839,782"
"未収入金","45,562,327"
"貸倒引当金","-3,000,000"
"流動資産合計","1,296,773,899"
"(固定資産)",""
"(有形固定資産)",""
"建物","699,699,279"
"構築物","15,701,290"
"機械装置","223,524,310"
"車輛運搬具","28,834,530"
"工具器具備品","119,227,242"
"土地","309,000,000"
"造作","17,638,525"
"少額減価償却資産","971,553"
"建物付属設備","143,883,711"
"リース資産","153,798,600"
"有形固定資産合計","1,712,279,040"
"(無形固定資産)",""
"電話加入権","2,493,700"
"一括償却資産","176,458"
"ソフトウェア","39,248,524"
"無形固定資産合計","41,918,682"
"(投資その他の資産)",""
"長期貸付金","7,644,736"
"長期前払費用","40,670"
"出資金","78,751,479"
"投資有価証券","3,264,000"
"差入保証金","3,792,860"
"投資その他の資産合計","93,493,745"
"固定資産合計","1,847,691,467"
"資産合計","3,144,465,366"
"負債の部",""
"(流動負債)",""
"買掛金","469,547,137"
"未払金","24,490,913"
"未払費用","33,999,773"
"預り金","736,091"
"仮受金","18,917,272"
"法人税等充当金","200,000"
"未払消費税","24,063,700"
"流動負債合計","571,954,886"
"(固定負債)",""
"長期借入金","2,146,135,255"
"リース債務","9,185,315"
"固定負債合計","2,155,320,570"
"負債合計","2,727,275,456"
"純資産の部",""
"(株主資本)",""
"資本金","71,500,000"
"(資本剰余金)",""
"資本準備金","11,500,000"
"資本剰余金合計","11,500,000"
"(利益剰余金)",""
"利益準備金","3,660,000"
"(その他利益剰余金)","(330,529,910)"
"繰越利益剰余金","-470,070,090"
"別途積立金","800,600,000"
"利益剰余金合計","334,189,910"
"株主資本合計","417,189,910"
"純資産合計","417,189,910"
"負債純資産合計","3,144,465,366"
