account,金額
I材料費,
当期材料費,0
II労務費,
給与,"352,614,665"
賞与,"71,979,449"
退職金,"2,736,055"
法定福利費,"74,053,340"
福利厚生費,"20,591,413"
当期労務費,"521,974,922"
III経費,
処分費,"1,402,553,884"
分析費,"3,875,500"
作業委託費,"248,139,786"
電力費,"11,338,571"
燃料費,"78,085,573"
水道光熱費,"9,810"
運搬費,"107,197,982"
減価償却費,"135,408,631"
賃借料,"18,069,343"
修繕費,"84,809,464"
租税公課,"4,671,640"
地代家賃,"106,533,964"
保険料,"29,987,430"
消耗品費,"10,531,499"
旅費交通費,"11,258,195"
通信費,"4,177,107"
保安費・管理費,"2,059,675"
研修費,"648,114"
雑費,"3,214,583"
当期経費,"2,262,570,751"
当期総製造費用,"2,784,545,673"
期首仕掛品棚卸高,0
合計,"2,784,545,673"
期末仕掛品棚卸高,0
当期製品製造原価,"2,784,545,673"
