account,金額
(流動資産),
現金及び預金,"402,984"
売掛金,"731,540"
カード売掛金,"155,710"
たな卸資産,"463,362"
商品,"322,637"
原料及び材料,
原材料,"140,725"
前払費用,946
その他の資産で1年内に※01,
未収入金,"99,000"
仮払金,"542,769"
流動資産,"2,396,311"
(固定資産),
有形固定資産,
建物及び暖房、照明、※02,
建物附属設備,"643,314"
工具、器具及び備品,3
有形固定資産,"643,317"
投資その他の資産,
出資金,
出資金,"10,100"
前各号に掲げられるも※03,
長期前払費用,"54,019"
差入保証金,"2,792,400"
投資その他の資産,"2,856,519"
固定資産,"3,499,836"
(繰延資産),
ホームページ作成費用,"1,330,000"
繰延資産,"1,330,000"
資産,"7,226,147"
(流動負債),
買掛金,"475,725"
未払費用,"1,305,960"
通常の取引に関連して発※04,
未払金,"65,648"
未払法人税等,"70,000"
未払消費税等,"419,100"
預り金,"34,536"
その他の負債で1年内に※05,
短期借入金,"1,200,000"
流動負債,"3,570,969"
(固定負債),
長期借入金,
長期借入金,"21,912,962"
その他の負債で流動負債※06,
長期未払金,"1,345,832"
固定負債,"23,258,794"
負債,"26,829,763"
(株主資本),
資本金,"3,000,000"
利益剰余金,
その他利益剰余金,
繰越利益剰余金,"-22,603,616"
その他利益剰余金,"-22,603,616"
利益剰余金,"-22,603,616"
株主資本,"-19,603,616"
純資産,"-19,603,616"
負債純資産,"7,226,147"
