"account","金額_0","金額_1"
"役員報酬","8,400,000",""
"給料手当","2,229,600",""
"法定福利費","5,745,483",""
"福利厚生費","5,933,675",""
"採用教育費","3,495,423",""
"接待交際費","6,223,030",""
"会議費","35,410",""
"旅費交通費","1,146,021",""
"通信費","764,342",""
"管理諸費","5,871,150",""
"消耗品費","765,708",""
"事務用消耗品費","170,205",""
"水道光熱費","362,562",""
"支払手数料","3,685,292",""
"地代家賃","1,005,718",""
"リース料","1,376,760",""
"保険料","1,370,127",""
"租税公課","10,998,978",""
"寄付金","36,000",""
"減価償却費","20,774,517",""
"雑費","2,304,571",""
"販売費及び一般管理費合計","","82,694,572"
